STRUCTURE	ENERGY
0	-.46202080E+02
1	-.44064689E+02
2	-.40824164E+02
3	-.41469080E+02
4	-.37929757E+02
5	-.34137967E+02
6	-.90272030E+02
7	-.87621936E+02
8	-.87936542E+02
9	-.85059214E+02
10	-.82045941E+02
11	-.87611328E+02
12	-.84929602E+02
13	-.85552998E+02
14	-.85122058E+02
15	-.82247738E+02
16	-.82420166E+02
17	-.82138186E+02
18	-.79030930E+02
19	-.78814368E+02
20	-.75492267E+02
21	-.82586442E+02
22	-.79449266E+02
23	-.82247021E+02
24	-.79098836E+02
25	-.75869056E+02
26	-.75551738E+02
27	-.72154122E+02
28	-.90207079E+02
29	-.86939057E+02
30	-.87811007E+02
31	-.87792054E+02
32	-.84405739E+02
33	-.87930507E+02
34	-.85303071E+02
35	-.81805273E+02
36	-.84839342E+02
37	-.85504060E+02
38	-.82081817E+02
39	-.85486022E+02
40	-.82114652E+02
41	-.82771819E+02
42	-.82689246E+02
43	-.79290452E+02
44	-.78760612E+02
45	-.75817633E+02
46	-.81945044E+02
47	-.80915398E+02
48	-.78429588E+02
49	-.79360660E+02
50	-.75722299E+02
51	-.79387507E+02
52	-.75753499E+02
53	-.74949911E+02
54	-.72089169E+02
55	-.90283953E+02
56	-.87518444E+02
57	-.87959965E+02
58	-.85026957E+02
59	-.82037746E+02
60	-.87716717E+02
61	-.84917049E+02
62	-.85567356E+02
63	-.85172215E+02
64	-.82230863E+02
65	-.82435739E+02
66	-.82150856E+02
67	-.79041747E+02
68	-.78838086E+02
69	-.75527270E+02
70	-.82548521E+02
71	-.79417653E+02
72	-.82193646E+02
73	-.79069824E+02
74	-.75834366E+02
75	-.75543535E+02
76	-.72163018E+02
77	-.90321801E+02
78	-.87855890E+02
79	-.88038784E+02
80	-.87885018E+02
81	-.85260652E+02
82	-.87492055E+02
83	-.84908270E+02
84	-.81968118E+02
85	-.84912102E+02
86	-.85616704E+02
87	-.82107674E+02
88	-.88132753E+02
89	-.85612589E+02
90	-.85145747E+02
91	-.82258282E+02
92	-.82442608E+02
93	-.81849774E+02
94	-.78813079E+02
95	-.85489057E+02
96	-.82359428E+02
97	-.82242567E+02
98	-.78808980E+02
99	-.82420043E+02
100	-.78998974E+02
101	-.75328518E+02
102	-.82772695E+02
103	-.82619891E+02
104	-.79131481E+02
105	-.79447107E+02
106	-.79341886E+02
107	-.75835631E+02
108	-.79414242E+02
109	-.75697135E+02
110	-.75678509E+02
111	-.75817915E+02
112	-.72088568E+02
113	-.90181328E+02
114	-.86748554E+02
115	-.87749270E+02
116	-.84190637E+02
117	-.84259278E+02
118	-.80563050E+02
119	-.88017879E+02
120	-.84804398E+02
121	-.85486103E+02
122	-.85435013E+02
123	-.82038870E+02
124	-.81776798E+02
125	-.81791323E+02
126	-.78207665E+02
127	-.82084140E+02
128	-.78714656E+02
129	-.78255182E+02
130	-.74768953E+02
131	-.82977825E+02
132	-.79374977E+02
133	-.82989998E+02
134	-.79479831E+02
135	-.75726760E+02
136	-.75958248E+02
137	-.72043941E+02
138	-.12445591E+03
139	-.12429273E+03
140	-.12424497E+03
141	-.12421464E+03
142	-.12409649E+03
143	-.12411266E+03
144	-.12425023E+03
145	-.12409839E+03
146	-.12422111E+03
147	-.12423243E+03
148	-.12410213E+03
149	-.12407594E+03
150	-.12388911E+03
151	-.12391823E+03
152	-.12392037E+03
153	-.12389035E+03
154	-.12389381E+03
155	-.12388753E+03
156	-.12368354E+03
157	-.12385817E+03
158	-.12364095E+03
159	-.12387562E+03
160	-.12382972E+03
161	-.12387838E+03
162	-.12388722E+03
163	-.12373682E+03
164	-.12386772E+03
165	-.12382492E+03
166	-.12368376E+03
167	-.12394783E+03
168	-.12371212E+03
169	-.12363878E+03
170	-.12366346E+03
171	-.12397485E+03
172	-.12401148E+03
173	-.12398669E+03
174	-.12404834E+03
175	-.12408093E+03
176	-.12372785E+03
177	-.12372178E+03
178	-.12366386E+03
